Date,Day of week,Month,Season,Total Hospital Beds,Beds Occupied,Occupancy Rate (%),Daily Admissions,Daily Discharges,Emergency Admissions,ICU Admissions,Department,Public Holiday Indicator,Special Event Indicator,Staff Availability,Average Length of Stay,Year,net_bed_change
2021-05-22,Saturday,May,Spring,302,223,73.84,109,112,56,7,Cardiology,No,No,94,2.4,2021,-3
2021-05-23,Sunday,May,Spring,218,170,77.98,27,19,13,1,ICU,No,No,96,11.1,2021,8
2021-05-24,Monday,May,Spring,341,272,79.77,97,92,50,15,Surgery,No,No,90,6.4,2021,5
2021-05-25,Tuesday,May,Spring,445,382,85.84,92,91,45,16,ICU,No,No,92,13.4,2021,1
2021-05-26,Wednesday,May,Spring,410,303,73.9,93,101,46,14,Pediatrics,No,No,90,2.1,2021,-8
2021-05-27,Thursday,May,Spring,419,398,94.99,60,69,27,4,Surgery,No,No,87,4.3,2021,-9
2021-05-28,Friday,May,Spring,192,140,72.92,60,69,24,4,Emergency,No,No,98,1.7,2021,-9
2021-05-29,Saturday,May,Spring,204,138,67.65,75,77,38,13,General Medicine,No,No,93,4.9,2021,-2
2021-05-30,Sunday,May,Spring,329,282,85.71,65,58,23,9,Emergency,Yes,No,65,0.9,2021,7
2021-05-31,Monday,May,Spring,359,330,91.92,58,57,26,10,Cardiology,No,Yes,77,5.0,2021,1
2021-06-01,Tuesday,June,Summer,279,259,92.83,98,87,31,5,ICU,No,No,88,9.8,2021,11
2021-06-02,Wednesday,June,Summer,402,381,94.78,77,69,31,12,Maternity,No,No,85,4.1,2021,8
2021-06-03,Thursday,June,Summer,416,386,92.79,75,60,41,6,Surgery,No,No,97,6.6,2021,15
2021-06-04,Friday,June,Summer,448,300,66.96,49,52,21,3,Surgery,No,No,81,4.1,2021,-3
2021-06-05,Saturday,June,Summer,345,276,80.0,111,103,36,14,Pediatrics,No,No,87,3.1,2021,8
2021-06-06,Sunday,June,Summer,282,242,85.82,46,38,18,6,Emergency,No,No,95,0.5,2021,8
2021-06-07,Monday,June,Summer,395,300,75.95,82,90,31,7,General Medicine,No,No,98,5.2,2021,-8
2021-06-08,Tuesday,June,Summer,445,356,80.0,44,29,21,4,General Medicine,No,No,97,5.8,2021,15
2021-06-09,Wednesday,June,Summer,415,385,92.77,80,77,32,8,Orthopedics,No,No,98,2.7,2021,3
2021-06-10,Thursday,June,Summer,427,333,77.99,87,88,41,5,Maternity,No,No,98,1.5,2021,-1
2021-06-11,Friday,June,Summer,374,276,73.8,115,103,31,6,Cardiology,No,No,98,5.6,2021,12
2021-06-12,Saturday,June,Summer,298,259,86.91,47,55,17,7,Maternity,No,No,86,2.7,2021,-8
2021-06-13,Sunday,June,Summer,285,247,86.67,89,91,30,10,Cardiology,No,No,94,5.9,2021,-2
2021-06-14,Monday,June,Summer,348,247,70.98,102,92,47,8,Surgery,No,No,96,6.1,2021,10
2021-06-15,Tuesday,June,Summer,237,213,89.87,25,26,8,3,ICU,No,No,100,11.3,2021,-1
2021-06-16,Wednesday,June,Summer,312,265,84.94,40,46,18,2,Cardiology,No,No,84,3.4,2021,-6
2021-06-17,Thursday,June,Summer,307,199,64.82,84,85,45,14,Pediatrics,No,No,91,6.4,2021,-1
2021-06-18,Friday,June,Summer,362,340,93.92,83,83,27,14,Maternity,No,No,95,4.4,2021,0
2021-06-19,Saturday,June,Summer,353,314,88.95,73,71,34,9,Pediatrics,No,No,86,2.3,2021,2
2021-06-20,Sunday,June,Summer,301,282,93.69,89,99,32,13,ICU,No,No,83,8.9,2021,-10
2021-06-21,Monday,June,Summer,282,248,87.94,95,95,51,15,Cardiology,No,No,98,6.7,2021,0
2021-06-22,Tuesday,June,Summer,376,248,65.96,110,111,40,7,Pediatrics,No,No,91,6.5,2021,-1
2021-06-23,Wednesday,June,Summer,320,208,65.0,114,113,33,17,Pediatrics,No,No,100,7.2,2021,1
2021-06-24,Thursday,June,Summer,394,358,90.86,25,22,13,2,General Medicine,No,No,99,3.2,2021,3
2021-06-25,Friday,June,Summer,349,328,93.98,29,29,9,2,Pediatrics,No,No,90,6.3,2021,0
2021-06-26,Saturday,June,Summer,362,264,72.93,76,75,37,9,Maternity,No,No,97,2.8,2021,1
2021-06-27,Sunday,June,Summer,326,251,76.99,102,100,43,5,Cardiology,No,No,87,7.4,2021,2
2021-06-28,Monday,June,Summer,399,271,67.92,71,72,38,10,General Medicine,No,No,88,2.8,2021,-1
2021-06-29,Tuesday,June,Summer,363,315,86.78,101,89,36,14,Cardiology,No,No,91,5.9,2021,12
2021-06-30,Wednesday,June,Summer,222,179,80.63,82,90,37,13,Surgery,No,No,93,7.7,2021,-8
2021-07-01,Thursday,July,Summer,347,301,86.74,82,87,36,11,Cardiology,No,No,99,5.3,2021,-5
2021-07-02,Friday,July,Summer,230,161,70.0,75,63,38,12,Maternity,No,No,89,4.5,2021,12
2021-07-03,Saturday,July,Summer,289,254,87.89,50,42,25,3,Cardiology,No,No,86,4.5,2021,8
2021-07-04,Sunday,July,Summer,275,195,70.91,102,92,36,15,Pediatrics,No,Yes,74,2.7,2021,10
2021-07-05,Monday,July,Summer,226,176,77.88,70,79,35,9,General Medicine,No,No,82,3.1,2021,-9
2021-07-06,Tuesday,July,Summer,191,168,87.96,65,53,31,11,Pediatrics,No,No,87,4.2,2021,12
2021-07-07,Wednesday,July,Summer,437,332,75.97,110,102,51,15,Pediatrics,No,No,96,5.5,2021,8
2021-07-08,Thursday,July,Summer,198,150,75.76,52,53,17,7,Pediatrics,No,No,81,4.5,2021,-1
2021-07-09,Friday,July,Summer,404,363,89.85,76,83,38,3,Pediatrics,No,No,87,6.2,2021,-7
2021-07-10,Saturday,July,Summer,251,193,76.89,60,67,30,5,Cardiology,No,No,85,6.9,2021,-7
2021-07-11,Sunday,July,Summer,233,153,65.67,44,45,14,2,Orthopedics,No,No,91,7.4,2021,-1
2021-07-12,Monday,July,Summer,180,129,71.67,83,76,26,10,General Medicine,No,No,98,3.9,2021,7
2021-07-13,Tuesday,July,Summer,212,139,65.57,32,19,8,2,Orthopedics,No,No,96,6.4,2021,13
2021-07-14,Wednesday,July,Summer,196,129,65.82,53,39,25,4,Emergency,No,No,86,1.9,2021,14
2021-07-15,Thursday,July,Summer,406,349,85.96,31,32,8,4,Orthopedics,No,No,92,3.0,2021,-1
2021-07-16,Friday,July,Summer,362,293,80.94,84,87,23,4,Cardiology,No,No,89,4.9,2021,-3
2021-07-17,Saturday,July,Summer,188,127,67.55,42,41,22,2,Surgery,No,No,85,4.1,2021,1
2021-07-18,Sunday,July,Summer,219,142,64.84,37,35,17,6,Orthopedics,No,No,86,3.2,2021,2
2021-07-19,Monday,July,Summer,313,219,69.97,92,82,26,9,Orthopedics,No,No,96,3.0,2021,10
2021-07-20,Tuesday,July,Summer,263,194,73.76,87,76,21,5,Maternity,No,No,98,1.5,2021,11
2021-07-21,Wednesday,July,Summer,256,230,89.84,63,65,23,9,Surgery,Yes,No,78,5.5,2021,-2
2021-07-22,Thursday,July,Summer,444,408,91.89,88,96,35,13,ICU,No,No,96,5.6,2021,-8
2021-07-23,Friday,July,Summer,449,336,74.83,42,49,16,4,Surgery,No,No,89,5.8,2021,-7
2021-07-24,Saturday,July,Summer,415,385,92.77,32,21,12,5,Emergency,No,No,87,1.1,2021,11
2021-07-25,Sunday,July,Summer,298,268,89.93,36,40,12,2,Cardiology,No,No,90,4.3,2021,-4
2021-07-26,Monday,July,Summer,332,222,66.87,91,93,40,10,ICU,No,No,100,9.8,2021,-2
2021-07-27,Tuesday,July,Summer,407,358,87.96,48,45,21,6,Pediatrics,No,No,81,6.9,2021,3
2021-07-28,Wednesday,July,Summer,375,300,80.0,34,39,10,1,Orthopedics,No,No,96,3.2,2021,-5
2021-07-29,Thursday,July,Summer,414,277,66.91,53,40,18,2,Emergency,No,No,84,2.5,2021,13
2021-07-30,Friday,July,Summer,407,354,86.98,49,49,26,7,ICU,No,No,82,9.9,2021,0
2021-07-31,Saturday,July,Summer,251,205,81.67,54,55,24,5,Pediatrics,No,No,81,2.0,2021,-1
2021-08-01,Sunday,August,Summer,376,278,73.94,60,65,29,3,ICU,No,No,90,7.5,2021,-5
2021-08-02,Monday,August,Summer,346,266,76.88,27,36,11,2,Maternity,No,No,82,2.1,2021,-9
2021-08-03,Tuesday,August,Summer,428,329,76.87,84,72,45,15,ICU,No,No,93,10.8,2021,12
2021-08-04,Wednesday,August,Summer,375,288,76.8,56,57,25,2,Surgery,No,No,85,4.2,2021,-1
2021-08-05,Thursday,August,Summer,219,186,84.93,66,68,16,11,General Medicine,No,No,86,3.9,2021,-2
2021-08-06,Friday,August,Summer,375,270,72.0,94,91,48,14,Cardiology,No,No,95,6.5,2021,3
2021-08-07,Saturday,August,Summer,314,219,69.75,33,20,18,3,Maternity,No,No,96,2.5,2021,13
2021-08-08,Sunday,August,Summer,360,234,65.0,63,59,19,7,Cardiology,No,No,84,6.4,2021,4
2021-08-09,Monday,August,Summer,210,174,82.86,85,86,23,8,Cardiology,No,Yes,86,2.6,2021,-1
2021-08-10,Tuesday,August,Summer,328,246,75.0,56,46,16,9,Maternity,No,No,83,2.9,2021,10
2021-08-11,Wednesday,August,Summer,202,149,73.76,68,61,27,7,Emergency,No,Yes,73,1.3,2021,7
2021-08-12,Thursday,August,Summer,298,238,79.87,106,105,26,15,Emergency,No,No,93,1.8,2021,1
2021-08-13,Friday,August,Summer,408,383,93.87,34,33,17,1,General Medicine,No,No,91,4.7,2021,1
2021-08-14,Saturday,August,Summer,235,218,92.77,44,53,20,3,Surgery,No,No,96,5.2,2021,-9
2021-08-15,Sunday,August,Summer,390,265,67.95,111,100,42,8,General Medicine,No,No,82,2.9,2021,11
2021-08-16,Monday,August,Summer,323,239,73.99,31,37,9,5,ICU,Yes,No,84,10.6,2021,-6
2021-08-17,Tuesday,August,Summer,329,299,90.88,38,42,18,6,Pediatrics,No,No,92,6.3,2021,-4
2021-08-18,Wednesday,August,Summer,409,265,64.79,33,35,12,5,Pediatrics,No,No,88,7.0,2021,-2
2021-08-19,Thursday,August,Summer,278,233,83.81,67,60,20,10,ICU,No,No,90,8.9,2021,7
2021-08-20,Friday,August,Summer,332,285,85.84,50,39,16,6,Pediatrics,No,No,99,4.8,2021,11
2021-08-21,Saturday,August,Summer,212,150,70.75,58,45,22,8,Cardiology,Yes,No,73,6.2,2021,13
2021-08-22,Sunday,August,Summer,299,206,68.9,111,104,58,13,Cardiology,No,No,97,4.5,2021,7
2021-08-23,Monday,August,Summer,195,154,78.97,80,76,25,14,Maternity,No,Yes,71,4.4,2021,4
2021-08-24,Tuesday,August,Summer,332,252,75.9,100,110,50,13,Pediatrics,No,Yes,83,5.3,2021,-10
2021-08-25,Wednesday,August,Summer,419,284,67.78,96,99,30,13,Surgery,No,No,99,8.2,2021,-3
2021-08-26,Thursday,August,Summer,344,319,92.73,54,43,29,8,Cardiology,No,No,81,4.6,2021,11
2021-08-27,Friday,August,Summer,385,308,80.0,78,84,20,14,Cardiology,No,No,89,5.0,2021,-6
2021-08-28,Saturday,August,Summer,339,257,75.81,67,61,31,11,General Medicine,No,No,94,3.0,2021,6
2021-08-29,Sunday,August,Summer,234,156,66.67,109,103,58,8,Surgery,No,No,81,8.9,2021,6
2021-08-30,Monday,August,Summer,340,244,71.76,67,71,27,8,General Medicine,No,No,88,6.1,2021,-4
2021-08-31,Tuesday,August,Summer,313,212,67.73,61,54,30,5,Orthopedics,No,No,82,5.8,2021,7
2021-09-01,Wednesday,September,Autumn,224,181,80.8,51,42,15,8,Pediatrics,No,No,98,2.2,2021,9
2021-09-02,Thursday,September,Autumn,317,240,75.71,86,78,31,7,Emergency,No,No,80,2.2,2021,8
2021-09-03,Friday,September,Autumn,442,397,89.82,45,54,19,4,Maternity,No,No,100,1.8,2021,-9
2021-09-04,Saturday,September,Autumn,209,146,69.86,65,53,28,11,Maternity,No,No,80,2.0,2021,12
2021-09-05,Sunday,September,Autumn,419,326,77.8,70,61,35,4,Maternity,No,No,81,4.2,2021,9
2021-09-06,Monday,September,Autumn,246,162,65.85,95,89,43,5,Emergency,No,No,98,0.6,2021,6
2021-09-07,Tuesday,September,Autumn,366,344,93.99,78,64,41,13,Emergency,No,No,100,1.0,2021,14
2021-09-08,Wednesday,September,Autumn,401,284,70.82,33,25,18,5,ICU,No,No,90,5.9,2021,8
2021-09-09,Thursday,September,Autumn,439,355,80.87,35,40,19,4,Surgery,No,No,82,9.0,2021,-5
2021-09-10,Friday,September,Autumn,237,168,70.89,83,76,31,10,General Medicine,No,No,87,2.3,2021,7
2021-09-11,Saturday,September,Autumn,364,323,88.74,57,60,14,7,Pediatrics,No,No,84,2.9,2021,-3
2021-09-12,Sunday,September,Autumn,329,213,64.74,77,87,23,11,Maternity,No,No,92,3.3,2021,-10
2021-09-13,Monday,September,Autumn,394,303,76.9,82,91,28,6,Emergency,No,No,99,2.2,2021,-9
2021-09-14,Tuesday,September,Autumn,305,286,93.77,30,17,10,5,Maternity,No,No,85,4.0,2021,13
2021-09-15,Wednesday,September,Autumn,387,367,94.83,32,40,11,5,Cardiology,No,No,84,6.2,2021,-8
2021-09-16,Thursday,September,Autumn,278,219,78.78,115,110,31,20,Surgery,Yes,No,85,8.9,2021,5
2021-09-17,Friday,September,Autumn,356,234,65.73,42,29,23,4,Surgery,No,No,87,3.7,2021,13
2021-09-18,Saturday,September,Autumn,210,199,94.76,85,70,30,15,General Medicine,No,No,95,7.5,2021,15
2021-09-19,Sunday,September,Autumn,298,262,87.92,81,85,34,12,Maternity,No,No,97,4.4,2021,-4
2021-09-20,Monday,September,Autumn,345,310,89.86,82,67,30,6,Emergency,No,No,80,2.2,2021,15
2021-09-21,Tuesday,September,Autumn,225,189,84.0,86,90,31,9,Pediatrics,No,No,100,6.6,2021,-4
2021-09-22,Wednesday,September,Autumn,388,353,90.98,58,50,21,2,Pediatrics,No,No,88,5.1,2021,8
2021-09-23,Thursday,September,Autumn,274,249,90.88,67,73,32,8,Surgery,No,No,93,4.5,2021,-6
2021-09-24,Friday,September,Autumn,309,241,77.99,43,37,17,6,Orthopedics,No,No,86,5.8,2021,6
2021-09-25,Saturday,September,Autumn,443,389,87.81,49,51,25,3,Maternity,Yes,No,73,3.6,2021,-2
2021-09-26,Sunday,September,Autumn,261,187,71.65,28,16,7,2,Cardiology,No,No,96,3.3,2021,12
2021-09-27,Monday,September,Autumn,380,349,91.84,82,69,36,8,Emergency,No,No,100,1.1,2021,13
2021-09-28,Tuesday,September,Autumn,213,202,94.84,79,79,21,7,Maternity,No,No,100,4.3,2021,0
2021-09-29,Wednesday,September,Autumn,290,229,78.97,52,41,20,8,General Medicine,No,No,87,5.2,2021,11
2021-09-30,Thursday,September,Autumn,294,270,91.84,89,77,36,10,Orthopedics,No,No,96,5.0,2021,12
2021-10-01,Friday,October,Autumn,424,318,75.0,89,82,42,14,Cardiology,No,No,96,6.4,2021,7
2021-10-02,Saturday,October,Autumn,437,388,88.79,42,35,14,6,Surgery,No,No,83,3.9,2021,7
2021-10-03,Sunday,October,Autumn,378,264,69.84,87,93,37,6,Cardiology,No,No,95,7.1,2021,-6
2021-10-04,Monday,October,Autumn,380,262,68.95,112,104,55,15,Cardiology,No,No,100,4.2,2021,8
2021-10-05,Tuesday,October,Autumn,357,232,64.99,66,73,19,4,Orthopedics,No,No,80,3.0,2021,-7
2021-10-06,Wednesday,October,Autumn,245,227,92.65,71,69,36,11,ICU,No,No,85,6.7,2021,2
2021-10-07,Thursday,October,Autumn,186,133,71.51,61,48,21,8,ICU,Yes,No,65,12.5,2021,13
2021-10-08,Friday,October,Autumn,378,302,79.89,56,54,28,8,Maternity,No,No,96,2.7,2021,2
2021-10-09,Saturday,October,Autumn,387,290,74.94,111,119,36,5,Pediatrics,No,No,100,3.8,2021,-8
2021-10-10,Sunday,October,Autumn,408,285,69.85,90,75,35,16,Orthopedics,No,No,81,3.4,2021,15
2021-10-11,Monday,October,Autumn,261,182,69.73,107,101,55,12,Pediatrics,No,No,100,5.6,2021,6
2021-10-12,Tuesday,October,Autumn,251,163,64.94,49,59,13,6,Emergency,No,No,82,0.9,2021,-10
2021-10-13,Wednesday,October,Autumn,333,313,93.99,60,62,19,10,ICU,No,No,96,13.2,2021,-2
2021-10-14,Thursday,October,Autumn,389,256,65.81,48,34,13,3,Orthopedics,No,No,91,2.1,2021,14
2021-10-15,Friday,October,Autumn,382,359,93.98,30,24,16,5,Maternity,No,No,93,3.9,2021,6
2021-10-16,Saturday,October,Autumn,449,300,66.82,64,65,32,6,Surgery,No,No,87,4.6,2021,-1
2021-10-17,Sunday,October,Autumn,199,187,93.97,105,105,28,13,ICU,No,No,83,14.0,2021,0
2021-10-18,Monday,October,Autumn,363,337,92.84,78,67,32,13,Pediatrics,No,Yes,86,6.1,2021,11
2021-10-19,Tuesday,October,Autumn,342,266,77.78,101,93,48,17,Cardiology,No,No,83,7.0,2021,8
2021-10-20,Wednesday,October,Autumn,394,275,69.8,105,99,40,18,Maternity,No,Yes,74,2.1,2021,6
2021-10-21,Thursday,October,Autumn,211,183,86.73,107,117,57,6,Pediatrics,No,No,88,5.3,2021,-10
2021-10-22,Friday,October,Autumn,186,165,88.71,100,87,37,8,Surgery,No,No,92,4.3,2021,13
2021-10-23,Saturday,October,Autumn,226,164,72.57,97,104,32,6,Surgery,No,No,81,8.9,2021,-7
2021-10-24,Sunday,October,Autumn,447,321,71.81,81,89,43,8,Surgery,No,No,85,8.0,2021,-8
2021-10-25,Monday,October,Autumn,240,189,78.75,80,88,23,9,Cardiology,No,No,89,6.9,2021,-8
2021-10-26,Tuesday,October,Autumn,212,182,85.85,67,62,32,5,Pediatrics,No,No,85,2.2,2021,5
2021-10-27,Wednesday,October,Autumn,341,255,74.78,56,57,20,10,General Medicine,No,No,97,6.4,2021,-1
2021-10-28,Thursday,October,Autumn,439,294,66.97,58,55,17,6,ICU,No,No,98,11.7,2021,3
2021-10-29,Friday,October,Autumn,430,305,70.93,81,80,29,9,General Medicine,No,No,96,7.4,2021,1
2021-10-30,Saturday,October,Autumn,425,348,81.88,29,21,10,3,Orthopedics,No,No,88,6.1,2021,8
2021-10-31,Sunday,October,Autumn,450,414,92.0,65,70,35,10,Maternity,No,No,88,3.7,2021,-5
2021-11-01,Monday,November,Autumn,241,180,74.69,108,99,27,8,Surgery,No,No,99,6.1,2021,9
2021-11-02,Tuesday,November,Autumn,292,207,70.89,67,69,16,9,Cardiology,No,No,88,7.5,2021,-2
2021-11-03,Wednesday,November,Autumn,319,290,90.91,106,108,55,16,Orthopedics,No,No,89,5.8,2021,-2
2021-11-04,Thursday,November,Autumn,391,351,89.77,59,68,25,3,Emergency,Yes,No,80,1.4,2021,-9
2021-11-05,Friday,November,Autumn,415,356,85.78,47,34,23,6,Cardiology,No,No,96,6.8,2021,13
2021-11-06,Saturday,November,Autumn,181,155,85.64,98,93,50,5,Orthopedics,No,No,99,4.5,2021,5
2021-11-07,Sunday,November,Autumn,374,340,90.91,26,25,14,4,Pediatrics,Yes,No,82,7.5,2021,1
2021-11-08,Monday,November,Autumn,445,378,84.94,70,57,33,9,Surgery,No,No,93,8.2,2021,13
2021-11-09,Tuesday,November,Autumn,303,251,82.84,44,34,23,4,General Medicine,No,Yes,74,6.1,2021,10
2021-11-10,Wednesday,November,Autumn,351,312,88.89,114,102,42,7,Emergency,No,No,82,1.6,2021,12
2021-11-11,Thursday,November,Autumn,393,290,73.79,56,66,17,2,Cardiology,No,No,83,3.2,2021,-10
2021-11-12,Friday,November,Autumn,263,215,81.75,35,21,15,1,Pediatrics,No,No,82,6.5,2021,14
2021-11-13,Saturday,November,Autumn,228,212,92.98,65,56,26,5,Orthopedics,No,No,99,3.7,2021,9
2021-11-14,Sunday,November,Autumn,359,258,71.87,61,71,30,9,Pediatrics,No,No,81,3.4,2021,-10
2021-11-15,Monday,November,Autumn,305,213,69.84,59,65,21,10,Emergency,No,No,84,1.1,2021,-6
2021-11-16,Tuesday,November,Autumn,315,261,82.86,79,68,33,4,Emergency,No,No,84,0.7,2021,11
2021-11-17,Wednesday,November,Autumn,245,227,92.65,94,93,38,16,Surgery,No,No,82,7.7,2021,1
2021-11-18,Thursday,November,Autumn,344,244,70.93,64,69,35,3,Orthopedics,No,No,99,7.4,2021,-5
2021-11-19,Friday,November,Autumn,346,262,75.72,29,19,8,4,Cardiology,No,No,84,2.6,2021,10
2021-11-20,Saturday,November,Autumn,308,237,76.95,44,39,21,4,Surgery,No,No,91,4.0,2021,5
2021-11-21,Sunday,November,Autumn,270,253,93.7,105,109,33,15,Maternity,No,No,95,2.7,2021,-4
2021-11-22,Monday,November,Autumn,332,225,67.77,30,23,13,4,Emergency,No,No,100,2.2,2021,7
2021-11-23,Tuesday,November,Autumn,197,177,89.85,78,63,21,8,Orthopedics,No,No,82,4.5,2021,15
2021-11-24,Wednesday,November,Autumn,274,252,91.97,99,103,32,9,General Medicine,No,No,85,2.4,2021,-4
2021-11-25,Thursday,November,Autumn,289,274,94.81,63,65,25,11,ICU,No,No,91,7.1,2021,-2
2021-11-26,Friday,November,Autumn,350,290,82.86,82,70,35,7,Orthopedics,No,Yes,91,4.7,2021,12
2021-11-27,Saturday,November,Autumn,385,277,71.95,83,70,32,7,Orthopedics,No,No,94,4.7,2021,13
2021-11-28,Sunday,November,Autumn,195,128,65.64,78,75,33,5,Cardiology,No,No,94,7.2,2021,3
2021-11-29,Monday,November,Autumn,368,242,65.76,28,36,12,5,Maternity,No,No,80,3.5,2021,-8
2021-11-30,Tuesday,November,Autumn,213,200,93.9,102,102,34,6,Pediatrics,No,No,84,4.9,2021,0
2021-12-01,Wednesday,December,Winter,232,204,87.93,47,32,18,7,General Medicine,No,No,91,7.0,2021,15
2021-12-02,Thursday,December,Winter,265,217,81.89,61,55,20,3,Surgery,No,No,82,5.1,2021,6
2021-12-03,Friday,December,Winter,307,267,86.97,69,66,29,7,Pediatrics,No,No,84,7.2,2021,3
2021-12-04,Saturday,December,Winter,195,161,82.56,68,57,27,11,Pediatrics,No,No,84,4.1,2021,11
2021-12-05,Sunday,December,Winter,416,320,76.92,74,59,25,8,Maternity,No,No,95,4.2,2021,15
2021-12-06,Monday,December,Winter,415,332,80.0,94,81,32,14,Surgery,No,No,98,7.6,2021,13
2021-12-07,Tuesday,December,Winter,307,279,90.88,87,89,32,4,Orthopedics,No,No,95,3.4,2021,-2
2021-12-08,Wednesday,December,Winter,263,220,83.65,79,83,34,3,Pediatrics,No,No,88,4.4,2021,-4
2021-12-09,Thursday,December,Winter,394,319,80.96,77,67,19,5,General Medicine,No,No,84,6.6,2021,10
2021-12-10,Friday,December,Winter,415,311,74.94,108,109,55,14,Surgery,No,No,99,7.5,2021,-1
2021-12-11,Saturday,December,Winter,270,189,70.0,109,95,32,11,General Medicine,No,No,85,3.9,2021,14
2021-12-12,Sunday,December,Winter,235,218,92.77,75,63,33,12,General Medicine,No,No,91,2.6,2021,12
2021-12-13,Monday,December,Winter,246,167,67.89,103,89,42,6,Orthopedics,No,No,94,2.4,2021,14
2021-12-14,Tuesday,December,Winter,307,211,68.73,110,113,57,12,Emergency,No,No,83,1.4,2021,-3
2021-12-15,Wednesday,December,Winter,261,232,88.89,94,90,40,16,Emergency,No,No,86,1.7,2021,4
2021-12-16,Thursday,December,Winter,331,221,66.77,57,49,17,3,Orthopedics,No,No,90,6.5,2021,8
2021-12-17,Friday,December,Winter,304,243,79.93,60,47,31,8,ICU,No,No,86,9.6,2021,13
2021-12-18,Saturday,December,Winter,356,338,94.94,75,79,29,5,Maternity,No,No,80,4.4,2021,-4
2021-12-19,Sunday,December,Winter,270,194,71.85,55,46,16,2,Cardiology,No,No,93,5.9,2021,9
2021-12-20,Monday,December,Winter,214,177,82.71,95,81,24,8,Emergency,No,No,87,1.5,2021,14
2021-12-21,Tuesday,December,Winter,395,304,76.96,31,27,15,5,Cardiology,No,No,94,7.0,2021,4
2021-12-22,Wednesday,December,Winter,254,185,72.83,78,79,41,12,Maternity,No,Yes,91,3.2,2021,-1
2021-12-23,Thursday,December,Winter,185,157,84.86,114,122,56,14,Maternity,No,No,87,2.6,2021,-8
2021-12-24,Friday,December,Winter,392,270,68.88,33,43,10,5,Emergency,No,No,86,1.1,2021,-10
2021-12-25,Saturday,December,Winter,267,221,82.77,81,81,30,9,Maternity,No,No,92,2.8,2021,0
2021-12-26,Sunday,December,Winter,208,170,81.73,67,65,28,6,Orthopedics,No,No,99,4.4,2021,2
2021-12-27,Monday,December,Winter,429,330,76.92,82,69,28,4,ICU,No,No,81,8.2,2021,13
2021-12-28,Tuesday,December,Winter,235,178,75.74,106,92,43,16,Surgery,No,No,92,5.4,2021,14
2021-12-29,Wednesday,December,Winter,392,270,68.88,61,60,25,7,Pediatrics,No,No,92,2.2,2021,1
2021-12-30,Thursday,December,Winter,284,207,72.89,60,55,19,10,Cardiology,No,No,91,4.1,2021,5
2021-12-31,Friday,December,Winter,446,334,74.89,38,33,13,1,Cardiology,No,No,93,2.5,2021,5
2022-01-01,Saturday,January,Winter,439,399,90.89,75,66,36,8,Emergency,No,No,92,2.1,2022,9
2022-01-02,Sunday,January,Winter,426,379,88.97,64,66,17,5,Orthopedics,No,No,82,4.4,2022,-2
2022-01-03,Monday,January,Winter,289,222,76.82,74,60,21,9,Maternity,No,No,89,2.1,2022,14
2022-01-04,Tuesday,January,Winter,273,232,84.98,89,76,34,7,Emergency,No,No,100,2.1,2022,13
2022-01-05,Wednesday,January,Winter,287,206,71.78,93,103,41,16,General Medicine,No,No,80,7.1,2022,-10
2022-01-06,Thursday,January,Winter,295,233,78.98,45,52,21,7,Emergency,No,No,97,0.9,2022,-7
2022-01-07,Friday,January,Winter,328,288,87.8,75,82,20,11,Emergency,No,No,98,1.6,2022,-7
2022-01-08,Saturday,January,Winter,246,186,75.61,84,92,36,9,Emergency,No,No,94,1.9,2022,-8
2022-01-09,Sunday,January,Winter,330,237,71.82,72,68,23,3,ICU,No,No,92,9.6,2022,4
2022-01-10,Monday,January,Winter,385,292,75.84,114,111,51,7,Orthopedics,No,No,100,5.0,2022,3
2022-01-11,Tuesday,January,Winter,195,138,70.77,31,41,15,5,Pediatrics,No,No,93,5.0,2022,-10
2022-01-12,Wednesday,January,Winter,316,259,81.96,43,41,16,3,Surgery,No,No,96,6.9,2022,2
2022-01-13,Thursday,January,Winter,382,259,67.8,32,35,17,4,Cardiology,No,No,86,4.3,2022,-3
2022-01-14,Friday,January,Winter,422,346,81.99,92,99,30,6,ICU,No,No,96,10.9,2022,-7
2022-01-15,Saturday,January,Winter,449,327,72.83,115,108,60,10,Surgery,No,No,98,8.9,2022,7
2022-01-16,Sunday,January,Winter,285,199,69.82,33,25,14,4,ICU,No,No,100,11.4,2022,8
2022-01-17,Monday,January,Winter,359,265,73.82,50,60,13,6,Maternity,No,No,81,4.0,2022,-10
2022-01-18,Tuesday,January,Winter,436,414,94.95,71,81,26,8,Surgery,No,No,90,8.8,2022,-10
2022-01-19,Wednesday,January,Winter,436,409,93.81,41,50,13,4,Cardiology,No,No,82,5.6,2022,-9
2022-01-20,Thursday,January,Winter,373,309,82.84,68,72,19,3,ICU,No,Yes,80,6.1,2022,-4
2022-01-21,Friday,January,Winter,235,176,74.89,46,50,19,3,General Medicine,No,No,100,5.5,2022,-4
2022-01-22,Saturday,January,Winter,383,314,81.98,114,112,33,20,Pediatrics,No,No,96,6.1,2022,2
2022-01-23,Sunday,January,Winter,334,277,82.93,98,108,24,17,Emergency,No,No,95,1.1,2022,-10
2022-01-24,Monday,January,Winter,274,227,82.85,93,79,43,13,Cardiology,No,No,92,4.3,2022,14
2022-01-25,Tuesday,January,Winter,280,252,90.0,32,36,17,1,Emergency,No,No,87,1.0,2022,-4
